ws,ov,pos,md,wf1
100,50,C,4,0.885986468
100,75,C,4,0.834256739
150,25,C,4,0.869928421
150,75,C,4,0.854763749
150,50,C,4,0.865877587
50,25,C,5,0.831161767
50,50,C,5,0.815746448
50,75,C,5,0.824760883
100,25,L,4,0.914324191
100,50,L,4,0.919717197
100,75,L,4,0.919367223
150,25,L,4,0.922320379
150,50,L,4,0.915441738
150,75,L,4,0.935272264
50,25,L,4,0.841411749
50,50,L,4,0.843611024
50,75,L,5,0.924429686
150,25,R,4,0.842885451
100,25,R,5,0.873463561
100,50,R,5,0.883556608
100,75,R,5,0.880021273
150,50,R,5,0.900518692
150,75,R,5,0.873127143
50,25,R,5,0.834497529
50,50,R,5,0.803663511
50,75,R,5,0.845727125
100,25,C,4,0.858196262
100,50,C,4,0.803866524
100,75,C,4,0.852979601
150,25,C,4,0.875157654
150,75,C,4,0.867258523
150,50,C,4,0.886497411
50,25,C,5,0.831026756
50,50,C,5,0.851168350
50,75,C,5,0.838335175
100,25,L,4,0.908514949
100,50,L,4,0.930565492
100,75,L,4,0.925947741
150,25,L,4,0.955284565
150,50,L,4,0.948788799
150,75,L,4,0.945554761
50,25,L,4,0.857252828
50,50,L,4,0.873031283
50,75,L,5,0.917223877
150,25,R,4,0.822892712
100,25,R,5,0.869874083
100,50,R,5,0.862136339
100,75,R,5,0.880265601
150,50,R,5,0.884554685
150,75,R,5,0.902321654
50,25,R,5,0.819966048
50,50,R,5,0.832826177
50,75,R,5,0.833613159
100,25,C,4,0.842534813
100,50,C,4,0.824697089
100,75,C,4,0.861871740
150,25,C,4,0.861811253
150,75,C,4,0.854495417
150,50,C,4,0.856444816
50,25,C,5,0.838089193
50,50,C,5,0.839696767
50,75,C,5,0.826974995
100,25,L,4,0.925334282
100,50,L,4,0.941873581
100,75,L,4,0.943693705
150,25,L,4,0.954488457
150,50,L,4,0.956482796
150,75,L,4,0.948382590
50,25,L,4,0.866987989
50,50,L,4,0.878765233
50,75,L,5,0.920511914
150,25,R,4,0.791651176
100,25,R,5,0.849714175
100,50,R,5,0.855223315
100,75,R,5,0.864960474
150,50,R,5,0.869868926
